Counc_Dist,Zip,LotNum,SumParcels,OwnerID,Abate_Date,Address,LAT,LNG
3,19104,3702,1,Private,3/27/2013,3702 ASPEN ST,39.966785631979,-75.1970745559141
3,19104,3708,1,Private,3/27/2013,3708 ASPEN ST,39.96675322980022,-75.19728456775034
3,19104,3731,1,RDA,4/18/2013,3731 ASPEN ST,39.96699221266489,-75.19765748569027
3,19104,3840,1,Private,10/23/2012,3840 ASPEN ST,39.96650322827977,-75.19919451657522
3,19104,3842,1,PHDC,10/23/2012,3842 ASPEN ST,39.96649747823507,-75.19924470009308
3,19104,3844,1,PHDC,10/23/2012,3844 ASPEN ST,39.96649317943515,-75.1992983982256
3,19104,3918,1,Private,10/23/2012,3918 ASPEN ST,39.966311211080715,-75.20093452669138
3,19104,4014,1,Private,7/31/2012,4014 ASPEN ST,39.96604042441751,-75.20345732503345
3,19104,4016,1,Private,7/31/2012,4016 ASPEN ST,39.96603475165452,-75.20351107396759
3,19104,717,1,Private,8/8/2012,717 BROOKLYN ST,39.96521105345087,-75.20791580834035
3,19104,717,1,Private,10/26/2012,717 BROOKLYN ST,39.96521105345087,-75.20791580834035
3,19104,719,1,Private,8/8/2012,719 BROOKLYN ST,39.96525378278748,-75.20792313201255
3,19104,719,1,Private,10/26/2012,719 BROOKLYN ST,39.96525378278748,-75.20792313201255
3,19104,734,1,City,8/8/2012,734 BROOKLYN ST,39.96552281731387,-75.20841451675633
3,19104,736,1,Private,8/8/2012,736 BROOKLYN ST,39.96557103459528,-75.20842163545625
3,19104,738,1,PHA,8/8/2012,738 BROOKLYN ST,39.9656165078877,-75.20842885682579
3,19104,740,1,PHA,8/8/2012,740 BROOKLYN ST,39.9656604906963,-75.20843078037724
3,19104,802,1,Private,7/31/2012,802 BROOKLYN ST,39.967436522638835,-75.20839467061883
3,19104,829,1,City,7/31/2012,829 BROOKLYN ST,39.96764644588208,-75.2082012199546
3,19104,837,1,Private,7/31/2012,837 BROOKLYN ST,39.96780360370124,-75.20822924671214
3,19104,4110,1,Private,2/15/2013,4110 BROWN ST,39.96695360310637,-75.20630695209668
3,19104,3801,1,Private,10/23/2012,3801 CAMBRIDGE ST,39.97407360151183,-75.19957772368382
3,19104,4018,1,Private,7/27/2012,4018 CAMBRIDGE ST,39.973149560685684,-75.20483810941934
3,19104,4020,1,Private,7/27/2012,4020 CAMBRIDGE ST,39.973143808174406,-75.2048882973684
3,19104,4022,1,City,7/27/2012,4022 CAMBRIDGE ST,39.973138016090545,-75.20493670206231
3,19104,3410,1,Private,2/15/2013,3410 FAIRMOUNT AVE,39.966117923541624,-75.19261864322394
3,19104,3610,2,Private,2/15/2013,3610 FAIRMOUNT AVE,39.96573016057792,-75.19573834079826
3,19104,3618,2,Private,2/15/2013,3618 FAIRMOUNT AVE,39.965694041779045,-75.19596633521581
3,19104,3620,4,Private,2/15/2013,3620 FAIRMOUNT AVE,39.96568950637719,-75.19600933464481
3,19104,3631,2,Private,2/15/2013,3631 FAIRMOUNT AVE,39.96607476333808,-75.1962910856383
3,19104,3924,1,Private,7/27/2012,3924 FAIRMOUNT AVE,39.96506221320488,-75.20194860134477
3,19104,3937,1,PHDC,7/27/2012,3937 FAIRMOUNT AVE,39.96553133298886,-75.20130820442307
3,19104,3939,1,City,7/27/2012,3939 FAIRMOUNT AVE,39.9655271520419,-75.20136725079611
3,19104,3941,1,Private,7/27/2012,3941 FAIRMOUNT AVE,39.96552308988004,-75.20143164629629
3,19104,3943,1,City,7/27/2012,3943 FAIRMOUNT AVE,39.96549486081567,-75.2015826058282
3,19104,3957,1,RDA,7/27/2012,3957 FAIRMOUNT AVE,39.965431187853596,-75.20205432526076
3,19104,3959,1,RDA,7/27/2012,3959 FAIRMOUNT AVE,39.965431187853596,-75.20205432526076
3,19104,3961,1,RDA,7/27/2012,3961 FAIRMOUNT AVE,39.965431187853596,-75.20205432526076
3,19104,4015,1,Private,7/31/2012,4015 FAIRMOUNT AVE,39.965288889607976,-75.20331418250207
3,19104,4017,1,Private,7/31/2012,4017 FAIRMOUNT AVE,39.96528321691197,-75.20336793085373
3,19104,4204,1,Private,8/10/2012,4204 FAIRMOUNT AVE,39.96461808288554,-75.20773991717444
3,19104,4221,1,PHA,4/22/2013,4221 FAIRMOUNT AVE,39.9649066026152,-75.20824305915893
3,19104,4223,1,PHA,4/22/2013,4223 FAIRMOUNT AVE,39.96490229960507,-75.20829675546477
3,19104,4225,1,Private,4/22/2013,4225 FAIRMOUNT AVE,39.96489795707213,-75.20834866873142
3,19104,4227,1,Private,4/22/2013,4227 FAIRMOUNT AVE,39.96489361451573,-75.20840058199141
3,19104,4229,1,PHA,4/22/2013,4229 FAIRMOUNT AVE,39.96454229660558,-75.20531226170665
3,19104,4231,1,Private,4/22/2013,4231 FAIRMOUNT AVE,39.96488496882769,-75.20850619152368
3,19104,4235,1,Private,8/15/2012,4235 FAIRMOUNT AVE,39.964876323042475,-75.20861180102905
3,19104,4235,1,Private,4/23/2013,4235 FAIRMOUNT AVE,39.964876323042475,-75.20861180102905
3,19104,4237,1,Private,8/15/2012,4237 FAIRMOUNT AVE,39.964872019859804,-75.20866549728761
3,19104,4237,1,Private,4/23/2013,4237 FAIRMOUNT AVE,39.964872019859804,-75.20866549728761
3,19104,4241,1,Private,8/15/2012,4241 FAIRMOUNT AVE,39.964860590448026,-75.20876942636549
3,19104,4241,1,Private,4/23/2013,4241 FAIRMOUNT AVE,39.964860590448026,-75.20876942636549
3,19104,4243,1,Private,8/15/2012,4243 FAIRMOUNT AVE,39.9648562871916,-75.20882312260164
3,19104,4243,1,Private,4/23/2013,4243 FAIRMOUNT AVE,39.9648562871916,-75.20882312260164
3,19104,3813,1,Private,4/17/2013,3813 FOLSOM ST,39.9674894060366,-75.1986506642556
3,19104,3832,1,Private,10/22/2012,3832 FOLSOM ST,39.967105001142556,-75.19908626086688
3,19104,3838,1,Private,10/22/2012,3838 FOLSOM ST,39.96708771144569,-75.19923502967119
3,19104,3844,1,Private,10/22/2012,3844 FOLSOM ST,39.96707445825246,-75.19938007769072
3,19104,3846,1,Private,10/22/2012,3846 FOLSOM ST,39.967068708126696,-75.19943026161475
3,19104,3848,1,Private,4/17/2013,3848 FOLSOM ST,39.96706295797902,-75.1994804455303
